ticker,event_date,date,relative_day,score,label
TGT,2023-11-15,2023-11-03,t-8,0.0001406464283415,0
TGT,2023-11-15,2023-11-06,t-7,9.840757711572224e-05,0
TGT,2023-11-15,2023-11-07,t-6,0.000145240004151,0
TGT,2023-11-15,2023-11-08,t-5,4.7182993750993776e-05,0
TGT,2023-11-15,2023-11-09,t-4,5.321927974364371e-05,0
TGT,2023-11-15,2023-11-10,t-3,6.681303117754094e-05,0
TGT,2023-11-15,2023-11-13,t-2,8.944720957515528e-05,0
TGT,2023-11-15,2023-11-14,t-1,0.0001870099814065,0
TGT,2023-11-15,2023-11-15,t,0.6601563056310018,1
TGT,2024-08-21,2024-08-07,t-10,0.0001158299336263,0
TGT,2024-08-21,2024-08-08,t-9,4.950639343708948e-05,0
TGT,2024-08-21,2024-08-09,t-8,4.5477969160856445e-05,0
TGT,2024-08-21,2024-08-12,t-7,6.357192141877021e-05,0
TGT,2024-08-21,2024-08-13,t-6,9.625270092025554e-05,0
TGT,2024-08-21,2024-08-14,t-5,2.5000916927335008e-05,0
TGT,2024-08-21,2024-08-15,t-4,0.0001480344009299,0
TGT,2024-08-21,2024-08-16,t-3,5.143178414073191e-05,0
TGT,2024-08-21,2024-08-19,t-2,3.238833931694292e-05,0
TGT,2024-08-21,2024-08-20,t-1,3.008370257854646e-05,0
TGT,2024-08-21,2024-08-21,t,0.6354969069361687,1
TGT,2024-11-20,2024-11-06,t-10,7.226291104176965e-05,0
TGT,2024-11-20,2024-11-07,t-9,4.562376619326864e-05,0
TGT,2024-11-20,2024-11-08,t-8,9.064783930373072e-05,0
TGT,2024-11-20,2024-11-11,t-7,5.85552077349608e-05,0
TGT,2024-11-20,2024-11-12,t-6,5.4292752298244846e-05,0
TGT,2024-11-20,2024-11-13,t-5,5.766356937983525e-05,0
TGT,2024-11-20,2024-11-14,t-4,5.333501947291097e-05,0
TGT,2024-11-20,2024-11-15,t-3,5.964945810246131e-05,0
TGT,2024-11-20,2024-11-18,t-2,5.262794129521353e-05,0
TGT,2024-11-20,2024-11-19,t-1,9.375619503834028e-05,0
TGT,2024-11-20,2024-11-20,t,8.081961154937744,1
