ticker,start,end,missed_seeds,n_missed_seeds,days,mean_score_ratio,max_score
GOOGL,2024-12-10,2024-12-11,"0,1,2",3,2,0.33679892856727367,0.0012800630647689
GE,2024-04-03,2024-04-03,"0,1,2",3,1,0.34217859864245187,0.0014350208731533
MA,2024-08-05,2024-08-05,"0,1,2",3,1,0.3424074307446365,0.0016137676958654
GOOGL,2023-02-02,2023-02-02,"0,1,2",3,1,0.36174684490183373,0.0011282969895877
AFL,2023-12-14,2023-12-14,"0,1,2",3,1,0.3629304087854091,0.0014832156419705
ALLE,2023-10-18,2023-10-18,"0,1,2",3,1,0.36427875661081655,0.0025469682990054
CRM,2024-11-11,2024-11-11,"0,1,2",3,1,0.3689143956183673,0.0019217384347159
TMUS,2023-04-28,2023-04-28,"0,1,2",3,1,0.37342823722118484,0.0017270749913526
MU,2023-04-10,2023-04-10,"0,1,2",3,1,0.3751307219756395,0.0016683537127391
COST,2024-11-08,2024-11-08,"0,1,2",3,1,0.3773985802010527,0.0025693960584855
MO,2024-03-06,2024-03-06,"0,1,2",3,1,0.3948300984111707,0.0011814161916845
AAPL,2024-03-21,2024-03-21,"0,1,2",3,1,0.39636140995117236,0.001514589993773
MSFT,2024-01-31,2024-01-31,"0,1,2",3,1,0.4138086087901612,0.0023135720393232
DHR,2024-01-30,2024-01-30,"0,1,2",3,1,0.41436726974340193,0.0011101696824577
CL,2024-10-25,2024-10-25,"0,1,2",3,1,0.41509838683957273,0.0018887115675961
ALL,2023-12-14,2023-12-14,"0,1,2",3,1,0.4177328708185967,0.0017646523366541
CRM,2024-09-19,2024-09-19,"0,1,2",3,1,0.43233113694683095,0.0019130209439026
DE,2024-08-15,2024-08-15,"0,1,2",3,1,0.44172678507911,0.0017011730652787
JNJ,2023-04-05,2023-04-05,"0,1,2",3,1,0.4519357512359723,0.0025879700799123
GOOG,2024-12-10,2024-12-11,"0,1,2",3,2,0.45225206823707315,0.0022083978110458
MAR,2024-07-31,2024-07-31,"0,1,2",3,1,0.45324882047190734,0.0019075260420019
LW,2023-10-05,2023-10-05,"0,1,2",3,1,0.456862723108205,0.0013492754059673
GOOGL,2024-11-21,2024-11-21,"0,1,2",3,1,0.4678420545094621,0.0017686984865576
TMO,2024-07-24,2024-07-24,"0,1,2",3,1,0.4714666253514839,0.0016970060125458
CMG,2024-04-25,2024-04-25,"0,1,2",3,1,0.47344900474729174,0.0012692209319766
TMUS,2024-10-24,2024-10-24,"0,1,2",3,1,0.4740830708428878,0.0011853825260991
ORCL,2023-05-25,2023-05-25,"0,1,2",3,1,0.4744614066581292,0.0019350206282979
EMR,2024-05-08,2024-05-08,"0,1,2",3,1,0.48154882321464826,0.0027245462852685
UNH,2024-06-28,2024-06-28,"0,1,2",3,1,0.482199350166598,0.0015815663355169
JNJ,2024-07-17,2024-07-17,"0,1,2",3,1,0.48297640688313964,0.0024769007647895
MMM,2023-10-24,2023-10-24,"0,1,2",3,1,0.4860898772926765,0.0014132882554804
V,2024-03-22,2024-03-22,"0,1,2",3,1,0.4896004169517565,0.0023763206476966
HD,2024-11-06,2024-11-06,"0,1,2",3,1,0.4923271232070698,0.0022235223625198
EMR,2023-02-08,2023-02-08,"0,1,2",3,1,0.4993584359452467,0.0023245171201919
AES,2024-09-11,2024-09-11,"0,1,2",3,1,0.5002133879418985,0.0014972026051054
GILD,2023-11-08,2023-11-08,"0,1,2",3,1,0.5106121345866,0.0026618773037019
ACN,2023-03-23,2023-03-23,"0,1,2",3,1,0.5159977965810726,0.0018580479876878
AVGO,2023-09-01,2023-09-01,"0,1,2",3,1,0.5179897207031336,0.0024509900089469
LNT,2024-11-01,2024-11-01,"0,1,2",3,1,0.5324223094545008,0.0019221727824315
STZ,2023-10-05,2023-10-05,"0,1,2",3,1,0.5336092864091612,0.0023187710346671
GOOG,2023-07-26,2023-07-26,"0,1,2",3,1,0.5546487679267208,0.0016386626039699
MHK,2023-11-14,2023-11-14,"0,1,2",3,1,0.5729493678562277,0.0024273528419143
GOOGL,2023-07-26,2023-07-26,"0,1,2",3,1,0.5772132347008667,0.0021058473382557
MO,2024-07-31,2024-07-31,"0,1,2",3,1,0.5818888754267141,0.0026298710057744
C,2024-08-02,2024-08-02,"0,1,2",3,1,0.5914537657474396,0.0016897812505097
ABBV,2024-10-30,2024-10-30,"0,1,2",3,1,0.6167713956300015,0.0018231238428111
RCL,2024-11-06,2024-11-06,"0,1,2",3,1,0.6386482957947973,0.0022173379042406
ABBV,2024-04-26,2024-04-26,"0,1,2",3,1,0.6593885664301637,0.0019790523995955
CAT,2023-12-14,2023-12-14,"0,1,2",3,1,0.6970827924563192,0.002602856918141
CL,2023-12-14,2023-12-14,"0,1,2",3,1,0.7408611763000618,0.0027908701253181
AOS,2023-10-26,2023-10-26,"0,1,2",3,1,0.798551403415123,0.0025341365135924
ALGN,2023-02-02,2023-02-02,"1,2",2,1,0.005781808884746092,2.1545771315603897e-05
NVDA,2023-05-25,2023-05-25,"1,2",2,1,0.018154387625943298,7.229105552445011e-05
META,2024-02-02,2024-02-02,"1,2",2,1,0.053645037268903004,0.0002923682940325
TMUS,2024-05-31,2024-05-31,"0,1",2,1,0.05430882695259624,0.0001504356983408
