seed,ticker,start,end,days,peak_date,max_score,threshold,score_ratio,under_threshold
0,PHM,2024-01-23,2024-01-23,1,2024-01-23,0.0005235965703832,0.0015159095603688145,0.3454009289682236,0.0009923129899856145
0,GE,2024-07-23,2024-07-24,2,2024-07-23,0.0005280968192285,0.0015159095603688145,0.34836960794680666,0.0009878127411403145
0,GILD,2023-07-24,2023-07-24,1,2023-07-24,0.0005344591170493,0.0015159095603688145,0.3525666246997402,0.0009814504433195144
0,GE,2024-04-03,2024-04-03,1,2024-04-03,0.0005616821663958,0.0015159095603688145,0.37052485259024626,0.0009542273939730145
0,CSCO,2023-04-19,2023-04-19,1,2023-04-19,0.0005632875613324,0.0015159095603688145,0.37158388340486126,0.0009526219990364144
0,MAR,2024-07-31,2024-07-31,1,2024-07-31,0.0005689530908663,0.0015159095603688145,0.3753212630494105,0.0009469564695025144
0,ABT,2023-10-11,2023-10-11,1,2023-10-11,0.0005728915930376,0.0015159095603688145,0.3779193746216746,0.0009430179673312145
0,PLTR,2023-05-18,2023-05-18,1,2023-05-18,0.0006001008647823,0.0015159095603688145,0.3958685138421437,0.0009158086955865144
0,GILD,2023-11-08,2023-11-08,1,2023-11-08,0.0006052226881668,0.0015159095603688145,0.3992472268725265,0.0009106868722020145
0,KVUE,2024-02-08,2024-02-08,1,2024-02-08,0.0006106457211141,0.0015159095603688145,0.4028246388033416,0.0009052638392547145
0,A,2024-09-26,2024-09-26,1,2024-09-26,0.0006168407203707,0.0015159095603688145,0.4069112937190166,0.0008990688399981145
0,GM,2024-11-26,2024-11-26,1,2024-11-26,0.0006211721229192,0.0015159095603688145,0.4097685898676379,0.0008947374374496145
0,PG,2024-11-06,2024-11-06,1,2024-11-06,0.0006229889120157,0.0015159095603688145,0.4109670710593905,0.0008929206483531144
0,AVGO,2023-03-03,2023-03-03,1,2023-03-03,0.0006238364904198,0.0015159095603688145,0.41152619307185,0.0008920730699490144
0,DE,2023-12-13,2023-12-13,1,2023-12-13,0.0006274891065307,0.0015159095603688145,0.4139357141979067,0.0008884204538381144
0,HD,2024-11-06,2024-11-06,1,2024-11-06,0.000643464285914,0.0015159095603688145,0.4244740601526702,0.0008724452744548145
0,CL,2024-10-25,2024-10-25,1,2024-10-25,0.0006492946202184,0.0015159095603688145,0.42832015655368605,0.0008666149401504145
0,PM,2023-04-20,2023-04-20,1,2023-04-20,0.0006493951726345,0.0015159095603688145,0.42838648796205553,0.0008665143877343145
0,AMD,2023-02-01,2023-02-01,1,2023-02-01,0.0006534193757185,0.0015159095603688145,0.43104113385202597,0.0008624901846503145
0,MMM,2023-01-24,2023-01-24,1,2023-01-24,0.0006558045361695,0.0015159095603688145,0.43261455255282216,0.0008601050241993144
0,INTU,2024-11-19,2024-11-19,1,2024-11-19,0.0006566658251766,0.0015159095603688145,0.4331827190382228,0.0008592437351922145
0,APTV,2023-02-14,2023-02-14,1,2023-02-14,0.0006703307818194,0.0015159095603688145,0.442197080448725,0.0008455787785494144
0,ABNB,2024-02-15,2024-02-15,1,2024-02-15,0.0006855440989359,0.0015159095603688145,0.45223284875194664,0.0008303654614329145
0,BAC,2024-08-02,2024-08-02,1,2024-08-02,0.0006923875058419,0.0015159095603688145,0.4567472387161705,0.0008235220545269145
0,MCD,2024-03-13,2024-03-13,1,2024-03-13,0.000699187189457,0.0015159095603688145,0.461232785738808,0.0008167223709118145
0,CRM,2024-09-19,2024-09-19,1,2024-09-19,0.000708986778909,0.0015159095603688145,0.46769728052675286,0.0008069227814598145
0,GE,2024-03-07,2024-03-07,1,2024-03-07,0.0007092364297326,0.0015159095603688145,0.46786196767572713,0.0008066731306362145
0,DE,2024-08-15,2024-08-15,1,2024-08-15,0.0007130351646386,0.0015159095603688145,0.47036787898159405,0.0008028743957302145
0,LULU,2024-01-31,2024-01-31,1,2024-01-31,0.0007170298906506,0.0015159095603688145,0.47300307973263894,0.0007988796697182144
0,MMM,2023-10-24,2023-10-24,1,2023-10-24,0.000718416257132,0.0015159095603688145,0.4739176240548363,0.0007974933032368145
