ticker,start,end,n_missed_seeds,missed_seeds,mean_score_ratio,miss_type_50,miss_type_75,label_return_abs_z3,label_volume_z2,label_volratio_1p5,panel_return_extreme,panel_volume_extreme,panel_gap_extreme,max_abs_z_return,max_volume_z,max_vol_ratio_5_20,max_abs_gap,max_abs_log_return_1d,peak_return_date
GOOGL,2023-07-26,2023-07-26,3,"0,1,2",0.5772132347008667,threshold_miss,hard_or_mid,True,True,False,True,False,True,3.3089819062552914,2.173489713506361,1.3017150438645773,0.0643155674674915,0.0561623828782563,2023-07-26
MO,2024-07-31,2024-07-31,3,"0,1,2",0.5818888754267141,threshold_miss,hard_or_mid,True,True,False,False,False,True,4.203597569276776,2.5808607696798616,1.4108905839682373,0.0425321465121842,0.0309386524564078,2024-07-31
C,2024-08-02,2024-08-02,3,"0,1,2",0.5914537657474396,threshold_miss,hard_or_mid,True,True,False,True,False,True,4.931445683271875,2.9781185089355806,1.294324164539496,0.0570480104045123,0.0741079381735111,2024-08-02
ABBV,2024-10-30,2024-10-30,3,"0,1,2",0.6167713956300015,threshold_miss,hard_or_mid,True,True,True,True,False,False,7.154341814662894,3.370151449681768,1.5933530270288754,0.0114541868342622,0.0616642469420739,2024-10-30
RCL,2024-11-06,2024-11-06,3,"0,1,2",0.6386482957947973,threshold_miss,hard_or_mid,True,True,True,True,False,True,3.613255774471276,2.1602511745912536,1.6071994805903322,0.0446932413749631,0.0725953251462258,2024-11-06
ABBV,2024-04-26,2024-04-26,3,"0,1,2",0.6593885664301637,threshold_miss,hard_or_mid,True,True,False,True,False,False,4.053183088819437,2.275567350079702,1.1769632962522898,0.0011953820352295,0.0469327047057288,2024-04-26
CAT,2023-12-14,2023-12-14,3,"0,1,2",0.6970827924563192,threshold_miss,hard_or_mid,True,True,False,True,False,False,3.639580592818916,2.193237358728309,1.3580728741019952,0.0167182234698775,0.0622103971953065,2023-12-14
CL,2023-12-14,2023-12-14,3,"0,1,2",0.7408611763000618,threshold_miss,hard_or_mid,True,False,True,True,False,False,4.3781103358465945,1.8871860336252737,1.6258873437851886,0.0138555589845734,0.0400927036597324,2023-12-14
AOS,2023-10-26,2023-10-26,3,"0,1,2",0.798551403415123,threshold_miss,near_threshold_miss,True,True,False,True,True,False,4.334213290379183,3.2813242209861,1.2755953029068958,0.0191748174942096,0.0585381401645474,2023-10-26
ALGN,2023-02-02,2023-02-02,2,"1,2",0.005781808884746,hard_miss,hard_or_mid,True,True,True,True,True,True,7.560209208515968,4.20688254673147,1.6850365268107537,0.1910239671963205,0.2419859207989186,2023-02-02
NVDA,2023-05-25,2023-05-25,2,"1,2",0.0181543876259432,hard_miss,hard_or_mid,True,True,True,True,True,True,10.15638825494812,5.341603361266078,1.786847431815981,0.2614776689991204,0.2180880457769838,2023-05-25
META,2024-02-02,2024-02-02,2,"1,2",0.053645037268903,hard_miss,hard_or_mid,True,True,True,True,True,True,13.1161389801598,6.336606082266063,1.8280848363163875,0.1641926856412373,0.1849650444726421,2024-02-02
TMUS,2024-05-31,2024-05-31,2,"0,1",0.0543088269525962,hard_miss,hard_or_mid,True,True,False,False,False,False,4.844973474580687,2.953479154167455,0.9614285217934464,0.0002351158105712,0.0284648157218542,2024-05-31
LW,2024-11-15,2024-11-15,2,"0,2",0.0549457427787006,hard_miss,hard_or_mid,True,False,True,False,False,False,4.152638312679599,1.8456550319646563,1.5390421419713574,0.0073374911484459,0.0634033962728451,2024-11-15
FDX,2024-06-26,2024-06-26,2,"1,2",0.0710860934252284,hard_miss,hard_or_mid,True,True,True,True,True,True,12.081545753755842,5.794879667243379,1.6186672198393133,0.1250095618293615,0.1443402867639093,2024-06-26
UNH,2024-04-16,2024-04-16,2,"1,2",0.0782474965310887,hard_miss,hard_or_mid,True,True,False,True,False,True,3.589967411483814,2.6091445265791995,1.2758967909264338,0.0698784952490388,0.0508791455200027,2024-04-16
