seed,ticker,start,end,days,peak_date,max_score,threshold,score_ratio
1,GE,2023-03-09,2023-03-09,1,2023-03-09,0.0102264305941112,0.0026753122810163144,3.822518465106555
1,APTV,2024-08-01,2024-08-01,1,2024-08-01,0.0100195566813151,0.0026753122810163144,3.745191450139349
1,ISRG,2023-01-25,2023-01-25,1,2023-01-25,0.0099982595515939,0.0026753122810163144,3.737230835644988
1,WMT,2023-02-21,2023-02-21,1,2023-02-21,0.0096470641985754,0.0026753122810163144,3.6059581780526244
1,COF,2023-01-25,2023-01-25,1,2023-01-25,0.0096302125893998,0.0026753122810163144,3.5996592464119423
1,RCL,2024-01-02,2024-01-02,1,2024-01-02,0.0093995575754282,0.0026753122810163144,3.5134431378819957
1,ALL,2024-03-15,2024-03-15,1,2024-03-15,0.0093702242302242,0.0026753122810163144,3.5024786813540065
1,TSLA,2024-07-11,2024-07-11,1,2024-07-11,0.0089396061376949,0.0026753122810163144,3.3415187457289535
1,DHI,2024-04-10,2024-04-10,1,2024-04-10,0.0086787514594637,0.0026753122810163144,3.2440143608830447
1,GM,2024-03-15,2024-03-15,1,2024-03-15,0.0085786787823356,0.0026753122810163144,3.206608381088386
1,MGM,2023-10-25,2023-10-25,1,2023-10-25,0.0085754312953667,0.0026753122810163144,3.2053945089763545
1,KVUE,2024-10-21,2024-10-21,1,2024-10-21,0.0085077656993598,0.0026753122810163144,3.180101911739371
1,RTX,2024-03-15,2024-03-15,1,2024-03-15,0.00836158905513,0.0026753122810163144,3.125462815859967
1,CCL,2023-09-29,2023-09-29,1,2023-09-29,0.0083522945099199,0.0026753122810163144,3.1219886250987408
1,PLTR,2024-03-06,2024-03-06,1,2024-03-06,0.0083397425032065,0.0026753122810163144,3.117296833862829
1,INTC,2024-09-03,2024-09-03,1,2024-09-03,0.008164704789912,0.0026753122810163144,3.051869812674856
1,COP,2023-12-15,2023-12-15,1,2023-12-15,0.0081239575985819,0.0026753122810163144,3.0366389958392896
1,TSLA,2023-04-20,2023-04-20,1,2023-04-20,0.007788556694868,0.0026753122810163144,2.911270116066314
1,JNJ,2023-12-15,2023-12-15,1,2023-12-15,0.0076195839093998,0.0026753122810163144,2.848110092966502
1,KO,2024-03-15,2024-03-15,1,2024-03-15,0.0074748151159534,0.0026753122810163144,2.7939972350120637
1,MMM,2024-10-22,2024-10-22,1,2024-10-22,0.0073296806106239,0.0026753122810163144,2.739747678293263
1,INTU,2023-02-03,2023-02-03,1,2023-02-03,0.0072753338001506,0.0026753122810163144,2.7194334851207724
1,C,2024-10-15,2024-10-15,1,2024-10-15,0.0071247690400384,0.0026753122810163144,2.6631541635699434
1,HD,2023-05-31,2023-05-31,1,2023-05-31,0.0070785695007847,0.0026753122810163144,2.6458853237483173
1,COP,2024-05-29,2024-05-29,1,2024-05-29,0.0069223514952075,0.0026753122810163144,2.5874928860932056
1,NVDA,2024-08-05,2024-08-05,1,2024-08-05,0.0069125967837559,0.0026753122810163144,2.5838466906487265
1,TSLA,2024-07-24,2024-07-24,1,2024-07-24,0.0063356291501501,0.0026753122810163144,2.3681830323536217
1,META,2024-08-01,2024-08-01,1,2024-08-01,0.0062243149421798,0.0026753122810163144,2.326575101660756
1,COP,2024-09-20,2024-09-20,1,2024-09-20,0.006117830138343,0.0026753122810163144,2.286772344953659
1,MO,2023-09-15,2023-09-15,1,2023-09-15,0.0059611749739512,0.0026753122810163144,2.2282165025185887
1,A,2024-01-03,2024-01-03,1,2024-01-03,0.005905427353476,0.0026753122810163144,2.207378703181749
1,CSCO,2024-10-16,2024-10-16,1,2024-10-16,0.0056954533739492,0.0026753122810163144,2.1288929200390676
1,ALB,2024-09-11,2024-09-11,1,2024-09-11,0.0056839292448178,0.0026753122810163144,2.1245853372521255
1,VLTO,2024-07-26,2024-07-26,1,2024-07-26,0.0056363850075285,0.0026753122810163144,2.106813865253635
1,DLTR,2024-11-06,2024-11-06,1,2024-11-06,0.0055264293245464,0.0026753122810163144,2.0657137350885204
1,ARE,2023-06-16,2023-06-16,1,2023-06-16,0.0055169374682009,0.0026753122810163144,2.0621657917650986
1,AVGO,2024-03-08,2024-03-08,1,2024-03-08,0.0055112546203114,0.0026753122810163144,2.0600416106256385
1,CCL,2023-06-26,2023-06-26,1,2023-06-26,0.0055040345566036,0.0026753122810163144,2.0573428364455055
1,LW,2023-04-06,2023-04-06,1,2023-04-06,0.0054365541553124,0.0026753122810163144,2.032119462796742
