ticker,rows,labels,return_extremes,volume_extremes,gap_extremes,preds,threshold,max_score,tp,fp,fn,return_std,volume_std,gap_std
LNT,502,21,4,10,9,6,0.002226863745654724,0.0099481210345402,5,1,16,0.011948801715546057,1.11843928891792,0.005873517218117607
LULU,502,13,9,9,8,3,0.005867408861779602,0.0699199450512727,1,2,12,0.02259060107737534,1.1841513200579787,0.016461100985021824
META,502,12,5,8,7,5,0.010229573179874163,0.0935364548116922,2,3,10,0.023282536859538395,1.0947951921635908,0.018873309568397646
MHK,502,13,6,7,7,6,0.003907686132797292,0.0340073983961095,2,4,11,0.023699756168411606,1.1090946793133605,0.014203558662004342
MMM,502,19,7,9,12,6,0.0037616976818843502,0.0086127590485072,3,3,16,0.018755828052680407,1.0904496581294496,0.010121116504899308
MRK,502,21,6,9,11,6,0.003376360101398732,0.0267895082322259,2,4,19,0.012678451388677734,1.1525350953467188,0.006526724939870723
MU,502,10,4,8,5,6,0.005966894282925415,0.0988616277424929,3,3,7,0.02802857387722255,1.1387108767440879,0.020429875630462398
NFLX,502,15,8,10,8,6,0.0032675650591262673,0.156608859822154,2,4,13,0.020983330077179473,1.0824842261714447,0.013458330891447861
NVDA,502,10,6,3,7,6,0.009536928287212487,0.1388753049075603,1,5,9,0.031153721547726842,1.1186429961877882,0.021393672557055772
PHM,502,22,9,7,10,6,0.0034990866573485517,0.0103464638115838,1,5,21,0.019126095076413056,1.0781876718039853,0.011969516942212821
PLTR,502,15,8,8,9,6,0.011247004523325154,0.310004734992981,4,2,11,0.04049165129084636,1.1716023906169675,0.02665830955745777
PM,502,18,5,6,9,6,0.0014729143922292197,0.0041504807282203,3,3,15,0.011476440612266856,1.0748611840981424,0.005666813923344155
TGT,502,11,5,9,7,6,0.00806194439506116,0.0646314312083025,5,1,6,0.021789721537354693,1.244119876116802,0.01635425165569037
TMO,502,21,7,6,12,6,0.002416617968439821,0.0061213360594895,2,4,19,0.01348719565328771,1.1194730626013374,0.008995621822306772
TSLA,502,14,7,3,12,6,0.0036296031211579807,0.2647343667897772,1,5,13,0.03676236701836122,1.1843234386413584,0.023599382731974983
UNH,502,19,11,7,12,6,0.0013380330388159853,0.0041873985241788,2,4,17,0.015433717223483339,1.148792753155117,0.010467666193369304
V,502,22,5,11,9,6,0.0025583695423555698,0.0057037683935569,3,3,19,0.010225863626820696,1.1062792201888116,0.006435380247390017
XOM,502,19,3,9,10,6,0.003113670551390222,0.0081062618909137,4,2,15,0.014057236843655238,1.1212809787207518,0.008086047480047435
