ticker,rows,labels,return_extremes,volume_extremes,gap_extremes,preds,threshold,max_score,tp,fp,fn,return_std,volume_std,gap_std
CVS,502,13,8,5,9,6,0.0012278926017857952,0.3705117349823316,5,1,8,0.019817495046276046,1.1366747295855657,0.01336235145811979
CVX,502,18,7,9,8,6,0.0014334705019977457,0.0048567662869269,6,0,12,0.013430978947415477,1.1221264132677382,0.007574554923423563
EL,502,8,7,6,5,6,0.029289063421055236,8.378156525748116,6,0,2,0.027512768558586656,1.1036871190445254,0.02153859136413431
EXPE,502,10,6,8,8,6,0.007732483376831986,0.601091252764066,6,0,4,0.025497776793570973,1.119950816922282,0.016482533639307493
GE,502,19,12,7,10,6,0.0015450149558991007,0.0234823475126177,6,0,13,0.017305965346190402,1.1302692546352466,0.008219088750463035
GILD,502,19,4,11,11,6,0.0007846797176125001,0.0434637750188509,5,1,14,0.014283618641264028,1.086986811349423,0.007473535843790029
GOOG,502,19,6,7,14,6,0.0031040809446333502,0.1242431217183669,6,0,13,0.01836439653196207,1.1132192142256905,0.013007510388056268
HON,502,19,8,8,10,6,0.0025965535463106618,0.009232851761044,6,0,13,0.01144755605188275,1.1115961072688603,0.007156653536608716
JPM,502,22,10,9,11,6,0.0021607978650527155,0.0843995717403135,6,0,16,0.013887416916457286,1.12993410152383,0.00769016465723481
KEYS,502,12,7,9,6,6,0.013219831045833406,0.2341099726657072,6,0,6,0.019162026905774086,1.1306443260710366,0.014528129324082378
KVUE,357,13,7,4,7,4,0.0024587251568290234,0.3561532825231552,4,0,9,0.016700635300189653,1.1140911420795867,0.009889230436950893
LEN,502,22,5,11,12,6,0.0024896819584051683,0.0070162113872356,6,0,16,0.018423304448875855,1.096693720189186,0.012045881195775541
LIN,502,18,11,7,11,6,0.0008251198931049278,0.0119973045618583,5,1,13,0.01095633410737141,1.1534560284250266,0.007518000752447891
LMT,502,20,8,11,7,6,0.002460515964002608,0.0918242700087527,6,0,14,0.011022808947978973,1.0911826792558985,0.00562608497651814
LNT,502,21,4,10,9,6,0.0013490072443465505,0.0072623296563203,5,1,16,0.011948801715546057,1.11843928891792,0.005873517218117607
LULU,502,13,9,9,8,6,0.008116416041672531,0.8714600930611293,6,0,7,0.02259060107737534,1.1841513200579787,0.016461100985021824
LW,502,12,6,9,6,6,0.0027200712341740063,0.6815696607033411,6,0,6,0.026637919294547414,1.1795639264912294,0.017041678558121717
META,502,12,5,8,7,6,0.003255005126253513,1.551805209029805,6,0,6,0.023282536859538395,1.0947951921635908,0.018873309568397646
MGM,502,14,5,8,8,6,0.0011685886526525563,0.1987411141395569,5,1,9,0.02108496643202704,1.0900989134425154,0.011837692471634133
MMM,502,19,7,9,12,6,0.0019290203236309938,0.3824134153624375,6,0,13,0.018755828052680407,1.0904496581294496,0.010121116504899308
MRK,502,21,6,9,11,6,0.0015368481205272645,0.0094950831538881,6,0,15,0.012678451388677734,1.1525350953467188,0.006526724939870723
MU,502,10,4,8,5,6,0.008539265160502239,0.2174027035944163,6,0,4,0.02802857387722255,1.1387108767440879,0.020429875630462398
NVDA,502,10,6,3,7,6,0.004463787860625094,10.577579228083293,5,1,5,0.031153721547726842,1.1186429961877882,0.021393672557055772
PHM,502,22,9,7,10,6,0.002382579266310665,0.06809524577111,5,1,17,0.019126095076413056,1.0781876718039853,0.011969516942212821
PLTR,502,15,8,8,9,6,0.03942114390060314,1.171556102236112,6,0,9,0.04049165129084636,1.1716023906169675,0.02665830955745777
PM,502,18,5,6,9,6,0.0009188621825092922,0.0761087026675136,5,1,13,0.011476440612266856,1.0748611840981424,0.005666813923344155
RTX,502,14,6,5,10,5,0.000716823089043617,0.3902803182601929,5,0,9,0.01329336059830296,1.1272143185177461,0.008981706027223577
TGT,502,11,5,9,7,6,0.0036642189272666882,6.753112060683114,6,0,5,0.021789721537354693,1.244119876116802,0.01635425165569037
TMO,502,21,7,6,12,6,0.0005130699575170711,0.0030923081154469,4,2,17,0.01348719565328771,1.1194730626013374,0.008995621822306772
UNH,502,19,11,7,12,6,0.005583493309878805,0.0479979847592336,6,0,13,0.015433717223483339,1.148792753155117,0.010467666193369304
V,502,22,5,11,9,6,0.0007357050259200617,0.0065189213658283,6,0,16,0.010225863626820696,1.1062792201888116,0.006435380247390017
XOM,502,19,3,9,10,6,0.0007505335313460091,0.0071866787873053,6,0,13,0.014057236843655238,1.1212809787207518,0.008086047480047435
